Country	Country Registered	Reference	Refrence Formatted	Firm	Application Nr	Filing Date	Publication Nr	Grant Date	Grant Nr	Expiry date	Non-assert	Title
JP	JP	94003G2	94003G2	LGE	1994-077270	15/04/1994	1995-023326 A		3108274	15/04/2014		Trick play control_VOBU_SRI of DSI
DE-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
FR-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
GB-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
NL-EP	EP	94003GEP04D1	94003GEP04D1	LGE	2026514.6	27/11/2002	1298924-A2			13/04/2014		Trick play control_VOBU_SRI of DSI
JP	JP	94170G2D1	94170G2D1	LGE	2005-299029	13/10/2005	2006-139267 A			19/09/2014		Multi audio stream
CN	CN	94170G3	94170G3	LGE	941177327.5	17/09/1994	1115480 A		1040705	17/09/2014		Karaoke disk playback
US	US	94170GUS08D2RSD1	94170GUS08D2RSD1	LGE	11/058,630	16/02/2005				16/09/2014		Multi audio stream
JP	JP	95FIMC059G2	95FIMC059G2	LGE	1995-318398	08/12/1995	1996-237596 A		3105777	08/12/2015		Scrambling/Descrambling, Copy prevention_CGMS_CPR_MAI
CN	CN	95FIMC059G4	95FIMC059G4	LGE	95121501.9	08/12/1995	1131796 A		1074888	08/12/2015		Scrambling/Descrambling, Copy prevention_CGMS_CPR_MAI
US	US	96FIML049G1	96FIML049G1	LGE	08/673,509	28/06/1996			5737287	28/06/2016		Multi Layer Disc_Classification, ID and Recording density
JP	JP	96FIML049G2D	96FIML049G2D	LGE	1998-096447	08/04/1998	1998-326449 A		3751748	27/06/2016		Multi Layer Disc_Classification, ID and Recording density
JP	JP	96FIML049GJP03D1	96FIML049GJP03D1	LGE	2001-256513	08/12/1995	2002-123937 A		4056718	27/06/2016		Dual layer disk _Classification, ID, & Recording density
JP	JP	96FIML049GJP04D1D1	96FIML049GJP04D1D1	LGE	2004-045504	20/02/2004	2004-213882 A			27/06/2016		Dual layer disk _Classification, ID, & Recording density
US	US	98FDVD021G1	98FDVD021G1	LGE	09/118,824	20/07/1998			RE38868	13/04/2014		Trick play control_VOBU_SRI of DSI
